league,champion,picked_count,games_count,pick_percent,ban_count,ban_percent,pick_or_ban,pick_ban_pct,pick_rate,ban_rate,win_count,win_percent
LEC,Jarvan IV,10.0,123.0,0.08130081300813008,1.0,0.008130081300813009,11.0,0.08943089430894309,8.130081300813007,0.8130081300813009,6,0.6
LEC,Jax,2.0,123.0,0.016260162601626018,2.0,0.016260162601626018,4.0,0.032520325203252036,1.6260162601626018,1.6260162601626018,0,0.0
LEC,Jayce,9.0,123.0,0.07317073170731707,17.0,0.13821138211382114,26.0,0.21138211382113822,7.317073170731707,13.821138211382115,4,0.4444444444444444
LEC,Jhin,23.0,123.0,0.18699186991869918,2.0,0.016260162601626018,25.0,0.2032520325203252,18.69918699186992,1.6260162601626018,13,0.5652173913043478
LEC,Jinx,7.0,123.0,0.056910569105691054,19.0,0.15447154471544716,26.0,0.21138211382113822,5.691056910569105,15.447154471544716,4,0.5714285714285714
LEC,Kai'Sa,71.0,123.0,0.5772357723577236,28.0,0.22764227642276422,99.0,0.8048780487804879,57.72357723577236,22.76422764227642,36,0.5070422535211268
LEC,Kalista,13.0,123.0,0.10569105691056911,34.0,0.2764227642276423,47.0,0.3821138211382114,10.569105691056912,27.64227642276423,7,0.5384615384615384
LEC,Karma,13.0,123.0,0.10569105691056911,6.0,0.04878048780487805,19.0,0.15447154471544716,10.569105691056912,4.878048780487805,6,0.46153846153846156
LEC,Karthus,1.0,123.0,0.008130081300813009,0.0,0.0,1.0,0.008130081300813009,0.8130081300813009,0.0,1,1.0
LEC,Kayn,1.0,123.0,0.008130081300813009,1.0,0.008130081300813009,2.0,0.016260162601626018,0.8130081300813009,0.8130081300813009,1,1.0
LEC,Kennen,4.0,123.0,0.032520325203252036,2.0,0.016260162601626018,6.0,0.04878048780487805,3.2520325203252036,1.6260162601626018,3,0.75
LEC,Kindred,1.0,123.0,0.008130081300813009,0.0,0.0,1.0,0.008130081300813009,0.8130081300813009,0.0,0,0.0
LEC,Kled,1.0,123.0,0.008130081300813009,0.0,0.0,1.0,0.008130081300813009,0.8130081300813009,0.0,0,0.0
LEC,LeBlanc,5.0,123.0,0.04065040650406504,1.0,0.008130081300813009,6.0,0.04878048780487805,4.0650406504065035,0.8130081300813009,1,0.2
LEC,Lee Sin,1.0,123.0,0.008130081300813009,0.0,0.0,1.0,0.008130081300813009,0.8130081300813009,0.0,0,0.0
LEC,Leona,26.0,123.0,0.21138211382113822,7.0,0.056910569105691054,33.0,0.2682926829268293,21.138211382113823,5.691056910569105,11,0.4230769230769231
LEC,Lillia,45.0,123.0,0.36585365853658536,40.0,0.3252032520325203,85.0,0.6910569105691057,36.58536585365854,32.52032520325203,23,0.5111111111111111
LEC,Lucian,23.0,123.0,0.18699186991869918,34.0,0.2764227642276423,57.0,0.4634146341463415,18.69918699186992,27.64227642276423,14,0.6086956521739131
LEC,Lulu,4.0,123.0,0.032520325203252036,0.0,0.0,4.0,0.032520325203252036,3.2520325203252036,0.0,1,0.25
LEC,Lux,1.0,123.0,0.008130081300813009,2.0,0.016260162601626018,3.0,0.024390243902439025,0.8130081300813009,1.6260162601626018,1,1.0
LEC,Malphite,3.0,123.0,0.024390243902439025,5.0,0.04065040650406504,8.0,0.06504065040650407,2.4390243902439024,4.0650406504065035,0,0.0
LEC,Miss Fortune,4.0,123.0,0.032520325203252036,6.0,0.04878048780487805,10.0,0.08130081300813008,3.2520325203252036,4.878048780487805,0,0.0
LEC,Morgana,3.0,123.0,0.024390243902439025,2.0,0.016260162601626018,5.0,0.04065040650406504,2.4390243902439024,1.6260162601626018,0,0.0
LEC,Nautilus,12.0,123.0,0.0975609756097561,6.0,0.04878048780487805,18.0,0.14634146341463414,9.75609756097561,4.878048780487805,7,0.5833333333333334
LEC,Nidalee,17.0,123.0,0.13821138211382114,6.0,0.04878048780487805,23.0,0.18699186991869918,13.821138211382115,4.878048780487805,10,0.5882352941176471
LEC,Nocturne,6.0,123.0,0.04878048780487805,6.0,0.04878048780487805,12.0,0.0975609756097561,4.878048780487805,4.878048780487805,3,0.5
LEC,Olaf,20.0,123.0,0.16260162601626016,36.0,0.2926829268292683,56.0,0.45528455284552843,16.260162601626014,29.268292682926827,12,0.6
LEC,Orianna,45.0,123.0,0.36585365853658536,33.0,0.2682926829268293,78.0,0.6341463414634146,36.58536585365854,26.82926829268293,29,0.6444444444444445
LEC,Ornn,5.0,123.0,0.04065040650406504,0.0,0.0,5.0,0.04065040650406504,4.0650406504065035,0.0,3,0.6
LEC,Pantheon,10.0,123.0,0.08130081300813008,25.0,0.2032520325203252,35.0,0.2845528455284553,8.130081300813007,20.32520325203252,5,0.5
LEC,Qiyana,1.0,123.0,0.008130081300813009,0.0,0.0,1.0,0.008130081300813009,0.8130081300813009,0.0,0,0.0
LEC,Quinn,2.0,123.0,0.016260162601626018,0.0,0.0,2.0,0.016260162601626018,1.6260162601626018,0.0,2,1.0
LEC,Rakan,18.0,123.0,0.14634146341463414,9.0,0.07317073170731707,27.0,0.21951219512195122,14.634146341463413,7.317073170731707,10,0.5555555555555556
LEC,Rek'Sai,1.0,123.0,0.008130081300813009,0.0,0.0,1.0,0.008130081300813009,0.8130081300813009,0.0,0,0.0
LEC,Rell,54.0,123.0,0.43902439024390244,40.0,0.3252032520325203,94.0,0.7642276422764228,43.90243902439025,32.52032520325203,33,0.6111111111111112
LEC,Renekton,32.0,123.0,0.2601626016260163,35.0,0.2845528455284553,67.0,0.5447154471544715,26.01626016260163,28.455284552845526,15,0.46875
LEC,Riven,1.0,123.0,0.008130081300813009,0.0,0.0,1.0,0.008130081300813009,0.8130081300813009,0.0,1,1.0
LEC,Rumble,1.0,123.0,0.008130081300813009,1.0,0.008130081300813009,2.0,0.016260162601626018,0.8130081300813009,0.8130081300813009,0,0.0
LEC,Ryze,15.0,123.0,0.12195121951219512,10.0,0.08130081300813008,25.0,0.2032520325203252,12.195121951219512,8.130081300813007,10,0.6666666666666666
LEC,Samira,10.0,123.0,0.08130081300813008,7.0,0.056910569105691054,17.0,0.13821138211382114,8.130081300813007,5.691056910569105,4,0.4
LEC,Senna,17.0,123.0,0.13821138211382114,47.0,0.3821138211382114,64.0,0.5203252032520326,13.821138211382115,38.21138211382114,9,0.5294117647058824
LEC,Seraphine,14.0,123.0,0.11382113821138211,41.0,0.3333333333333333,55.0,0.44715447154471544,11.38211382113821,33.33333333333333,9,0.6428571428571429
LEC,Sett,5.0,123.0,0.04065040650406504,3.0,0.024390243902439025,8.0,0.06504065040650407,4.0650406504065035,2.4390243902439024,3,0.6
LEC,Shen,5.0,123.0,0.04065040650406504,2.0,0.016260162601626018,7.0,0.056910569105691054,4.0650406504065035,1.6260162601626018,2,0.4
LEC,Sion,27.0,123.0,0.21951219512195122,10.0,0.08130081300813008,37.0,0.3008130081300813,21.951219512195124,8.130081300813007,10,0.37037037037037035
LEC,Sivir,3.0,123.0,0.024390243902439025,1.0,0.008130081300813009,4.0,0.032520325203252036,2.4390243902439024,0.8130081300813009,2,0.6666666666666666
LEC,Skarner,8.0,123.0,0.06504065040650407,14.0,0.11382113821138211,22.0,0.17886178861788618,6.504065040650407,11.38211382113821,5,0.625
LEC,Sylas,9.0,123.0,0.07317073170731707,8.0,0.06504065040650407,17.0,0.13821138211382114,7.317073170731707,6.504065040650407,5,0.5555555555555556
LEC,Syndra,25.0,123.0,0.2032520325203252,22.0,0.17886178861788618,47.0,0.3821138211382114,20.32520325203252,17.88617886178862,6,0.24
LEC,Tahm Kench,9.0,123.0,0.07317073170731707,10.0,0.08130081300813008,19.0,0.15447154471544716,7.317073170731707,8.130081300813007,4,0.4444444444444444
LEC,Taliyah,8.0,123.0,0.06504065040650407,30.0,0.24390243902439024,38.0,0.3089430894308943,6.504065040650407,24.390243902439025,7,0.875
LEC,Thresh,22.0,123.0,0.17886178861788618,88.0,0.7154471544715447,110.0,0.8943089430894309,17.88617886178862,71.54471544715447,10,0.45454545454545453
LEC,Tristana,15.0,123.0,0.12195121951219512,44.0,0.35772357723577236,59.0,0.4796747967479675,12.195121951219512,35.77235772357724,6,0.4
LEC,Trundle,1.0,123.0,0.008130081300813009,0.0,0.0,1.0,0.008130081300813009,0.8130081300813009,0.0,0,0.0
LEC,Twisted Fate,25.0,123.0,0.2032520325203252,83.0,0.6747967479674797,108.0,0.8780487804878049,20.32520325203252,67.47967479674797,17,0.68
LEC,Udyr,41.0,123.0,0.3333333333333333,52.0,0.42276422764227645,93.0,0.7560975609756098,33.33333333333333,42.27642276422765,16,0.3902439024390244
LEC,Urgot,6.0,123.0,0.04878048780487805,3.0,0.024390243902439025,9.0,0.07317073170731707,4.878048780487805,2.4390243902439024,5,0.8333333333333334
LEC,Varus,4.0,123.0,0.032520325203252036,0.0,0.0,4.0,0.032520325203252036,3.2520325203252036,0.0,3,0.75
LEC,Vayne,7.0,123.0,0.056910569105691054,6.0,0.04878048780487805,13.0,0.10569105691056911,5.691056910569105,4.878048780487805,5,0.7142857142857143
LEC,Veigar,1.0,123.0,0.008130081300813009,0.0,0.0,1.0,0.008130081300813009,0.8130081300813009,0.0,0,0.0
LEC,Viktor,19.0,123.0,0.15447154471544716,10.0,0.08130081300813008,29.0,0.23577235772357724,15.447154471544716,8.130081300813007,7,0.3684210526315789
LEC,Vladimir,1.0,123.0,0.008130081300813009,0.0,0.0,1.0,0.008130081300813009,0.8130081300813009,0.0,0,0.0
LEC,Volibear,18.0,123.0,0.14634146341463414,8.0,0.06504065040650407,26.0,0.21138211382113822,14.634146341463413,6.504065040650407,12,0.6666666666666666
LEC,Wukong,8.0,123.0,0.06504065040650407,4.0,0.032520325203252036,12.0,0.0975609756097561,6.504065040650407,3.2520325203252036,5,0.625
LEC,Xayah,37.0,123.0,0.3008130081300813,18.0,0.14634146341463414,55.0,0.44715447154471544,30.081300813008134,14.634146341463413,18,0.4864864864864865
LEC,Yone,4.0,123.0,0.032520325203252036,1.0,0.008130081300813009,5.0,0.04065040650406504,3.2520325203252036,0.8130081300813009,2,0.5
