location,total_assistance,total_households,total_allocation,pct_spent,not_spent,type,state_abbr,program
Alabama,79761389.0,15165.0,326358801.2,0.2444,246597412.2,state_total,AL,ERA1
Louisiana,117279464.0,23946.0,308042376.59999996,0.3807,190762912.59999996,state_total,LA,ERA1
Kentucky,121735048.0,26040.0,296897443.5,0.41,175162395.5,state_total,KY,ERA1
Oregon,137707078.0,27532.0,281264683.4,0.4896,143557605.39999998,state_total,OR,ERA1
Oklahoma,107425461.0,35702.0,263975438.50000003,0.407,156549977.50000003,state_total,OK,ERA1
Connecticut,122265009.0,19105.0,235873751.1,0.5183,113608742.1,state_total,CT,ERA1
Utah,83653336.0,17320.0,215507409.99999997,0.3882,131854073.99999997,state_total,UT,ERA1
Iowa,37172572.0,11050.0,209783452.7,0.1772,172610880.7,state_total,IA,ERA1
Nevada,114276419.0,18019.0,208105615.3,0.5491,93829196.30000001,state_total,NV,ERA1
Hawaii,128967899.0,20003.0,202400000.0,0.6372,73432101.0,state_total,HI,ERA1
Arkansas,49004448.0,13177.0,200961311.79999998,0.2439,151956863.79999998,state_total,AR,ERA1
Mississippi,63414478.0,16835.0,200000000.00000003,0.3171,136585522.00000003,state_total,MS,ERA1
Kansas,65370433.0,17361.0,200000000.0,0.3269,134629567.0,state_total,KS,ERA1
District of Columbia,178191067.0,41878.0,200000000.0,0.891,21808933.0,state_only,DC,ERA1
District of Columbia,178191067.0,41878.0,200000000.0,0.891,21808933.0,state_total,DC,ERA1
Vermont,33478178.0,21064.0,200000000.0,0.1674,166521822.0,state_total,VT,ERA1
Delaware,17715282.0,3442.0,200000000.0,0.0886,182284718.0,state_total,DE,ERA1
New Mexico,73023815.0,21500.0,200000000.0,0.3651,126976185.0,state_total,NM,ERA1
New Hampshire,46594175.0,8237.0,200000000.0,0.233,153405825.0,state_total,NH,ERA1
Alaska,134428446.0,31680.0,200000000.0,0.6721,65571554.0,state_total,AK,ERA1
Rhode Island,47739830.0,6337.0,200000000.0,0.2387,152260170.0,state_total,RI,ERA1
Nebraska,47350634.0,12294.0,200000000.0,0.2368,152649366.0,state_total,NE,ERA1
West Virginia,28018348.0,7040.0,200000000.0,0.1401,171981652.0,state_total,WV,ERA1
Wyoming,9564543.0,3238.0,200000000.0,0.0478,190435457.0,state_total,WY,ERA1
South Dakota,6335630.0,2250.0,200000000.0,0.0317,193664370.0,state_total,SD,ERA1
Maine,45654197.0,12407.0,200000000.0,0.2283,154345803.0,state_total,ME,ERA1
North Dakota,10171752.0,6727.0,200000000.0,0.0509,189828248.0,state_total,ND,ERA1
Montana,20541994.0,3924.0,200000000.0,0.1027,179458006.0,state_total,MT,ERA1
Idaho,32913529.0,7386.0,199999999.99999997,0.1646,167086470.99999997,state_total,ID,ERA1
California,116854121.0,9184.0,1557721528.36,0.075,1440867407.36,state_only,CA,ERA2
Texas,85584282.0,17353.0,1110922034.7,0.077,1025337752.7,state_only,TX,ERA2
New York,0.0,0.0,1225955182.4,0.0,1225955182.4,state_only,NY,ERA2
Pennsylvania,7472291.0,1349.0,500166870.0,0.0149,492694579.0,state_only,PA,ERA2
Florida,0.0,0.0,296193308.04,0.0,296193308.04,state_only,FL,ERA2
Illinois,29539319.0,3033.0,193101112.24,0.153,163561793.24,state_only,IL,ERA2
