state,date,fy_value,fy_pct,ytd_value,ytd_pct
Massachusetts,2019,212316.0,0.004832106770155553,38416.0,0.17901973421722994
Massachusetts,2020,262583.0,0.23675559072326147,36760.0,-0.0431070387338609
Massachusetts,2021,53281.0,-0.7970889204556274,53281.0,0.4494287268770403
Michigan,1999,307769.0,4.776336780465832,36381.0,-0.3171862389970158
Michigan,2000,300661.0,-0.02309524351055503,43020.0,0.1824853632390533
Michigan,2001,363424.0,0.20875005404758173,48625.0,0.13028823802882372
Michigan,2002,353540.0,-0.027196882979660164,58215.0,0.1972236503856042
Michigan,2003,342161.0,-0.03218589127114324,52791.0,-0.09317186292192736
Michigan,2004,342418.0,0.0007511083963396281,51440.0,-0.02559148339679107
Michigan,2005,337035.0,-0.015720552073781202,54048.0,0.050699844479004774
Michigan,2006,332428.0,-0.013669203495185966,57437.0,0.06270352279455293
Michigan,2007,311851.0,-0.06189911800450021,52578.0,-0.08459703675331232
Michigan,2008,357335.0,0.14585170482057142,54133.0,0.029575107459393735
Michigan,2009,362172.0,0.013536317461205982,62655.0,0.15742707775294185
Michigan,2010,348200.0,-0.03857835503572893,57824.0,-0.0771047801452398
Michigan,2011,356635.0,0.02422458357265933,56586.0,-0.0214097952407305
Michigan,2012,430405.0,0.20685014090036025,69193.0,0.22279362386456003
Michigan,2013,503979.0,0.17094132270768236,115532.0,0.6697064731981559
Michigan,2014,424091.0,-0.1585145412804898,65072.0,-0.4367621091991829
Michigan,2015,500921.0,0.1811639483035481,72098.0,0.10797270715515128
Michigan,2016,579605.0,0.15707866110624225,118144.0,0.6386584926072845
Michigan,2017,513243.0,-0.11449521656990536,87449.0,-0.2598100622968581
Michigan,2018,489957.0,-0.045370321660500035,80601.0,-0.0783084998113186
Michigan,2019,492171.0,0.004518763891525168,74957.0,-0.07002394511234356
Michigan,2020,1068511.0,1.1710157648459578,94667.0,0.26295075843483606
Michigan,2021,201171.0,-0.8117277220356178,201171.0,1.1250382921186897
Minnesota,1999,177929.0,-0.11553355105855223,16197.0,-0.9194864070865085
Minnesota,2000,185100.0,0.04030259260716362,22856.0,0.4111255170710626
Minnesota,2001,191935.0,0.03692598595353869,22918.0,0.0027126356317814793
Minnesota,2002,192392.0,0.0023810144059186467,26098.0,0.13875556331268002
Minnesota,2003,229728.0,0.19406212316520444,27843.0,0.06686336117710168
Minnesota,2004,227846.0,-0.008192296977294844,31783.0,0.14150773982688647
Minnesota,2005,224165.0,-0.016155648990985094,28840.0,-0.09259667117641501
Minnesota,2006,244712.0,0.09166016104208952,36652.0,0.27087378640776705
Minnesota,2007,248086.0,0.013787636078328891,37622.0,0.026465131507148243
Minnesota,2008,277175.0,0.1172536942834339,39465.0,0.04898729466801344
Minnesota,2009,285130.0,0.028700279606746593,46663.0,0.18238945901431647
Minnesota,2010,297390.0,0.0429979307684214,41391.0,-0.11298030559543959
Minnesota,2011,337534.0,0.1349877265543562,49672.0,0.20006764755623196
Minnesota,2012,440992.0,0.3065113440423779,63684.0,0.28209051377033334
Minnesota,2013,525774.0,0.19225292068790356,119532.0,0.8769549651403807
Minnesota,2014,481122.0,-0.08492622305401176,75031.0,-0.3722936117525014
Minnesota,2015,519244.0,0.07923562007141638,78523.0,0.0465407631512309
Minnesota,2016,651599.0,0.25489943071080257,100986.0,0.2860690498325331
Minnesota,2017,683544.0,0.049025550990716704,147373.0,0.4593408987384391
Minnesota,2018,604078.0,-0.11625586648408881,100114.0,-0.3206761075638007
Minnesota,2019,682356.0,0.1295826035710621,104129.0,0.0401042811195238
Minnesota,2020,958391.0,0.4045322383037593,118164.0,0.1347847381613192
Minnesota,2021,163481.0,-0.829421394816938,163481.0,0.3835093598727193
Mississippi,1999,182114.0,0.11397654773337584,28318.0,-0.8267810938274173
Mississippi,2000,163980.0,-0.09957499148884763,27369.0,-0.03351225369023236
Mississippi,2001,159421.0,-0.027802170996462983,25563.0,-0.06598706565822643
Mississippi,2002,149948.0,-0.059421280759749395,25236.0,-0.012791925830301643
Mississippi,2003,150877.0,0.006195481100114808,26129.0,0.03538595656997945
Mississippi,2004,152294.0,0.009391756198757983,26220.0,0.003482720349037516
Mississippi,2005,167713.0,0.10124496040553144,25838.0,-0.014569031273836797
Mississippi,2006,179087.0,0.0678182371074394,30593.0,0.1840312717702608
Mississippi,2007,175298.0,-0.021157314601283228,29680.0,-0.02984342823521724
Mississippi,2008,181068.0,0.03291537838423708,31693.0,0.06782345013477098
Mississippi,2009,167057.0,-0.07737976892659115,32800.0,0.03492884864165591
Mississippi,2010,169873.0,0.01685652202541643,28543.0,-0.12978658536585364
Mississippi,2011,185059.0,0.08939619598170401,30607.0,0.07231195039063865
Mississippi,2012,222297.0,0.20122231288399917,35488.0,0.1594733230960237
Mississippi,2013,231711.0,0.0423487496457442,53029.0,0.49427975653742107
Mississippi,2014,214829.0,-0.07285799983600261,36707.0,-0.3077938486488525
Mississippi,2015,252372.0,0.1747575979034488,41089.0,0.11937777535619909
Mississippi,2016,276161.0,0.09426164550742544,49986.0,0.2165299715252258
Mississippi,2017,251852.0,-0.08802473919199305,41156.0,-0.17664946184931785
Mississippi,2018,247278.0,-0.018161459905023603,41824.0,0.016230926231898035
Mississippi,2019,238388.0,-0.03595143927078026,39097.0,-0.06520179801071158
Mississippi,2020,366829.0,0.5387897041797405,45208.0,0.15630355270225338
