id,mapAddress,name,License Type,Last Inspection Date,License Number
NjYyOTIy,943 MAIN ST WARREN RI 02885,114 EXPRESS,Cash Registers - 1-2,05-16-2018,MRK09211
MjQwMTA5,87 BROAD STREET CUMBERLAND RI 02864,PIZZA MAN OF CUMERLAND,Seats -  Less than 50,05-15-2018,FSV15258
MjQxMzE0,218 THAYER STREET PROVIDENCE RI 02906,STARBUCKS COFFEE NO 7219,Seats -  Less than 50,05-15-2018,FSV17035
MjQxODI0,54 SMITHFIELD AVENUE PAWTUCKET RI 02860,AMANDAS KITCHEN,Seats -  Less than 50,05-15-2018,FSV17575
MjQ1OTU4,398 BELLEVUE AVENUE NEWPORT RI 02840,HEATHERWOOD REHABILITATION AND HEALTH CARE CENTER,Seats - 50 or More,11-16-2017,FSV09643
MjQ2MTcy,80 LAMBERT LIND HIGHWAY WARWICK RI 02886,D'ANGELO'S SANDWICH SHOP NO 5144,Seats - 50 or More,11-16-2017,FSV10562
MjQ2NzYx,966 PARK AVENUE CRANSTON RI 02920,BURGER KING NO 476,Seats - 50 or More,11-16-2017,FSV13091
MjQ2ODc2,560 CUMBERLAND HILL ROAD WOONSOCKET RI 02895,OAKLAND GROVE HEALTH CARE CENTER,Seats - 50 or More,11-16-2017,FSV13358
MjQ4MjY0,231 ROBINSON STREET SOUTH KINGSTOWN RI 02879,HEALY NEWS STORE,Cash Registers - 1-2,11-16-2017,MRK00633
MjQ4NjQ4,1600 NOOSENECK HILL ROAD COVENTRY RI 02816,CUMBERLAND FARMS NO 1219,Cash Registers - 1-2,11-16-2017,MRK03725
MjQ4Njcx,2064 SMITH STREET NORTH PROVIDENCE RI 02911,CUMBERLAND FARMS NO 1256,Cash Registers - 1-2,11-16-2017,MRK03755
MjQ4Njg5,125 BROADWAY NEWPORT RI 02840,CUMBERLAND FARMS NO 1150,Cash Registers - 1-2,11-16-2017,MRK03780
MjU3Mzc4,SUITE 10 JOHNSTON RI 02919,HOME FRIES RESTAURANT LLC,Seats - 50 or More,11-16-2017,FSV25215
MjU4NjAx,400 BALD HILL ROAD WARWICK RI 02886,TARGET STORE T 2430,Cash Registers - 6 or more ,11-16-2017,MRK07582
MjU4NzYz,2 KENNEDY PLAZA PROVIDENCE RI 02903,SUBWAY,Seats -  Less than 50,11-16-2017,FSV25963
MjYwMzc5,1925 PAWTUCKET AVENUE EAST PROVIDENCE RI 02914,SUPER STOP AND SHOP NO 2701,Cash Registers - 6 or more ,11-16-2017,MRK07791
MjYwNjQ2,85 MAIN STREET WOONSOCKET RI 02895,MAIN STREET CAFE,Seats -  Less than 50,11-16-2017,FSV27403
MjYwOTA0,"593 WEEDEN ST UNIT 9, 10 PAWTUCKET RI 02860",FLOR DI BRAVA INC,Cash Registers - 1-2,11-16-2017,MRK07843
MjYxMTAz,235 GARDEN HILLS DR CRANSTON RI 02920,IMMACULATE CONCEPTION CATHOLIC REGIONAL SCHOOL,Food Service (Non-Profit),11-16-2017,FSV27642
MjYyMTg2,ONE EXCHANGE ST PROVIDENCE RI 02903,FLEMINGS PRIME STEAKHOUSE AND WINE BAR,Seats - 50 or More,11-16-2017,FSV28133
MjY0NDMy,503 SMITHFIELD RD NORTH SMITHFIELD RI 02896,CT GAS INC,Cash Registers - 1-2,11-16-2017,MRK08369
MjY1NTA4,116 EDDIE DOWLING HWY NORTH SMITHFIELD RI 02896,LANDMARK MEDICAL CENTER FOGARTY UNIT,Seats -  Less than 50,11-16-2017,FSV29915
MjY1NjI2,775 CRANSTON ST PROVIDENCE RI 02907,7 ELEVEN STORE NO 33413 C,Cash Registers - 1-2,11-16-2017,MRK08484
MjY1Nzg0,963 NAMQUID DR WARWICK RI 02888,MIRABELLAS ITALIAN CUCINA,Seats -  Less than 50,11-16-2017,FSV30013
MjY1Nzg1,11 BENEFIT ST PAWTUCKET RI 02860,FIVE CORNERS PIZZA,Seats -  Less than 50,11-16-2017,FSV29994
MzU5MTUw,1175 MAIN STREET RICHMOND RI 02898,CUMBERLAND FARMS #1254,Cash Registers - 3-5 ,11-16-2017,MRK08729
NDE0NTIx,12 HIGH ST WAKEFIELD RI 02879,DR DAY CARE SOUTH COUNTY,Seats - 50 or More,11-16-2017,FSV31774
NDE0ODU0,426 BUTTONWOODS AVE WARWICK RI 02886,PIZZA PLUS,Seats -  Less than 50,11-16-2017,FSV31626
NDE1MDU0,1070 CRANSTON ST CRANSTON RI 02920,CITY OF CRANSTON DEPT OF SENIOR SERVICES,Food Service (Non-Profit),11-16-2017,FSV31712
NjEyMTc3,1035 BRANCH AVE PROVIDENCE RI 02904,FAMILY DOLLAR NO 31977,Cash Registers - 3-5 ,11-16-2017,MRK09103
NjEyMTc4,48 PLAINFIELD ST PROVIDENCE RI 02908,FAMILY DOLLAR NO 31732,Cash Registers - 3-5 ,11-16-2017,MRK09105
NjEyMzgz,3471 KINGSTOWN RD WEST KINGSTON RI 02892,FRANKS FRANKS,Mobile Food Service,11-16-2017,FSV32501
MjQwMTcz,472 WATERMAN AVENUE EAST PROVIDENCE RI 02914,TROPICAL ILHAS INC,Seats -  Less than 50,11-15-2017,FSV15364
MjQwNDU2,JOHNSON & WALES UNIVERSITY PROVIDENCE RI 02905,RED SAUCE PIZZA & PASTA,Food Service (Non-Profit),11-15-2017,FSV15827
MjQyMDg4,178 CONNELL HIGHWAY NEWPORT RI 02842,BAGEL BOYS,Seats -  Less than 50,11-15-2017,FSV17844
MjQzMzQy,240 CENTRAL AVENUE PAWTUCKET RI 02860,"A BETTER DAY ASSISTED LIVING, INC.",Seats -  Less than 50,11-15-2017,FSV20717
MjQzODY3,56 MAYNARD STREET PAWTUCKET RI 02860,DARLINGTON ASSISTED LIVING CENTER II,Seats -  Less than 50,11-15-2017,FSV19550
MjQzODg1,1085 CHALKSTONE AVENUE PROVIDENCE RI 02908,LILLIAN FEINSTEIN SENIOR CENTER,Food Service (Non-Profit),11-15-2017,FSV20833
MjQ0NTU0,95 JOHNSON BOULEVARD COVENTRY RI 02816,HOPKINS HILL SCHOOL,Food Service (Non-Profit),11-15-2017,FSV02129
MjQ0NTkw,1811 BROAD STREET CRANSTON RI 02905,SCANDINAVIAN HOME INC,Seats - 50 or More,11-15-2017,FSV02300
MjQ1MDM5,540 TAUNTON AVENUE EAST PROVIDENCE RI 02914,"BOSTON HOUSE OF PIZZA, INC",Seats -  Less than 50,11-15-2017,FSV03717
MjQ1MDY1,833 BROADWAY EAST PROVIDENCE RI 02914,"HARRIS HEALTH CENTER, LLC",Seats -  Less than 50,11-15-2017,FSV03777
MjQ1MzQ4,964 MAIN STREET PAWTUCKET RI 028604875,JEANNE JUGAN RESIDENCE,Food Service (Non-Profit),11-15-2017,FSV05705
MjQ1Mzc4,55 FOURTH AVENUE EAST GREENWICH RI 02818,OUR LADY OF MERCY SCHOOL,Food Service (Non-Profit),11-15-2017,FSV05901
MjQ1NjM2,1128 MAIN STREET COVENTRY RI 02816,VILLAGE PUB,Seats -  Less than 50,11-15-2017,FSV07738
MjQ5NTE5,3376 POST ROAD WARWICK RI 02886,"REMINGTON HOUSE INN, THE",Seats - 50 or More,11-15-2017,FSV20233
MjQ5OTE0,1511 PONTIAC AVENUE CRANSTON RI 02920,COFFEE PLUS VF NO 76,Food Service (Non-Profit),11-15-2017,FSV20791
MjUyMTk5,361 WATERMAN AVENUE EAST PROVIDENCE RI 02914,NEW YORK SYSTEM,Seats -  Less than 50,11-15-2017,FSV22839
MjUyODcw,199 JT CONNELL HIGHWAY NEWPORT RI 02840,NINETY-NINE RESTAURANT,Seats - 50 or More,11-15-2017,FSV22273
