City/Town,election,year,Total Votes,Election Day,Mail Ballots,Emergency,% - Mail,% - Turnout,turnout_rank
PORTSMOUTH,general,2010,7527,7175,352,0.0,0.046764979407466455,0.5769584546987583,3.0
PORTSMOUTH,general,2012,9423,8636,787,0.0,0.08351904913509497,0.7104727437231395,2.0
PORTSMOUTH,general,2014,6972,6586,386,0.0,0.055364314400458976,0.5118942731277533,9.0
PORTSMOUTH,general,2016,9804,8367,1437,0.0,0.14657282741738067,0.681732841944232,4.0
PORTSMOUTH,general,2018,8004,7193,811,0.0,0.10132433783108445,0.5457520796399836,14.0
PORTSMOUTH,primary,2010,1827,1777,50,0.0,0.02736726874657909,0.1407333230627022,24.0
PORTSMOUTH,primary,2012,1258,1223,35,0.0,0.02782193958664547,0.09491474271917912,23.0
PORTSMOUTH,primary,2014,2588,2469,119,0.0,0.04598145285935085,0.19168950448114955,27.0
PORTSMOUTH,primary,2016,1198,1122,76,0.0,0.06343906510851419,0.08547374429223745,13.0
PORTSMOUTH,primary,2020,1492,459,862,171.0,0.5777479892761395,0.16121015667206914,11.0
PROVIDENCE,general,2010,35176,33837,1339,0.0,0.0380657266317944,0.36371908346430637,38.0
PROVIDENCE,general,2012,52507,50032,2475,0.0,0.04713657226655493,0.5089613725585228,38.0
PROVIDENCE,general,2014,39050,35986,3064,0.0,0.07846350832266326,0.34512320147064024,36.0
PROVIDENCE,general,2016,56208,52389,3819,0.0,0.06794406490179333,0.4529688608084585,38.0
PROVIDENCE,general,2018,43457,40327,3130,0.0,0.07202522033274271,0.3448201986860063,37.0
PROVIDENCE,primary,2010,25630,24551,1079,0.0,0.04209910261412407,0.26977811460570084,2.0
PROVIDENCE,primary,2012,15959,15142,817,0.0,0.05119368381477536,0.15741763661471692,9.0
PROVIDENCE,primary,2014,25727,23969,1758,0.0,0.06833287985385005,0.23247429201380732,15.0
PROVIDENCE,primary,2016,11878,10974,904,0.0,0.07610708873547735,0.09802432865136085,10.0
PROVIDENCE,primary,2020,11526,6808,4185,533.0,0.36309213951067154,0.125571970192182,20.0
RICHMOND,general,2010,2987,2900,87,0.0,0.02912621359223301,0.5163353500432152,23.0
RICHMOND,general,2012,3713,3582,131,0.0,0.035281443576622676,0.6273019091062679,29.0
RICHMOND,general,2014,2911,2813,98,0.0,0.03366540707660598,0.4751877244531505,22.0
RICHMOND,general,2016,4169,3898,271,0.0,0.06500359798512832,0.6544740973312402,16.0
RICHMOND,general,2018,3326,3247,79,0.0,0.023752254960914012,0.5148606811145511,26.0
RICHMOND,primary,2010,554,547,7,0.0,0.01263537906137184,0.09591412742382271,35.0
RICHMOND,primary,2012,410,405,5,0.0,0.012195121951219513,0.06935047361299053,28.0
