result.event,result.eventCode,result.eventTypeId,result.description,about.eventIdx,about.eventId,about.period,about.periodType,about.ordinalNum,about.periodTime,about.periodTimeRemaining,about.dateTime,about.goals.away,about.goals.home,data.timeout_id,game_id,game_type,home_team,away_team,away_final_score,home_final_score,timeout_team,timeout_against,score_diff,end_score_diff,before_timeout,end_result,game_seconds
Stoppage,NJD562,STOP,Home Timeout,222,562,3,REGULAR,3rd,03:34,16:26,2021-04-28T01:07:06Z,3,3,1,2020020716,R,New Jersey Devils,Philadelphia Flyers,4,6,New Jersey Devils,Philadelphia Flyers,0.0,2.0,tied,winning,2614
Stoppage,NJD678,STOP,Visitor Timeout,291,678,3,REGULAR,3rd,18:04,01:56,2021-04-28T01:36:25Z,4,5,2,2020020716,R,New Jersey Devils,Philadelphia Flyers,4,6,Philadelphia Flyers,New Jersey Devils,-1.0,-2.0,losing,losing,3484
Stoppage,EDM687,STOP,Home Timeout,346,687,3,REGULAR,3rd,18:49,01:11,2021-04-22T04:28:58Z,4,2,1,2020020721,R,Edmonton Oilers,Montréal Canadiens,4,3,Edmonton Oilers,Montréal Canadiens,-2.0,-1.0,losing,losing,3529
Stoppage,CHI629,STOP,Visitor Timeout,302,629,3,REGULAR,3rd,11:13,08:47,2021-04-22T01:15:45Z,4,3,1,2020020725,R,Chicago Blackhawks,Nashville Predators,4,5,Nashville Predators,Chicago Blackhawks,1.0,-1.0,winning,losing,3073
Stoppage,FLA610,STOP,Home Timeout,296,610,3,REGULAR,3rd,11:30,08:30,2021-04-23T01:21:18Z,3,1,1,2020020732,R,Florida Panthers,Carolina Hurricanes,4,2,Florida Panthers,Carolina Hurricanes,-2.0,-2.0,losing,losing,3090
Stoppage,BUF670,STOP,Visitor Timeout,283,670,3,REGULAR,3rd,19:07,00:53,2021-04-24T01:39:51Z,4,5,1,2020020738,R,Buffalo Sabres,Boston Bruins,4,6,Boston Bruins,Buffalo Sabres,-1.0,-2.0,losing,losing,3547
Stoppage,STL471,STOP,Home Timeout,286,471,3,REGULAR,3rd,11:11,08:49,2021-04-24T21:38:17Z,3,3,1,2020020748,R,St. Louis Blues,Colorado Avalanche,3,5,St. Louis Blues,Colorado Avalanche,0.0,2.0,tied,winning,3071
Stoppage,VAN753,STOP,Visitor Timeout,253,753,3,REGULAR,3rd,08:11,11:49,2021-04-25T04:21:37Z,1,2,1,2020020751,R,Vancouver Canucks,Ottawa Senators,2,4,Ottawa Senators,Vancouver Canucks,-1.0,-2.0,losing,losing,2891
Stoppage,NYR615,STOP,Visitor Timeout,275,615,3,REGULAR,3rd,18:28,01:32,2021-04-26T00:23:48Z,3,5,1,2020020754,R,New York Rangers,Buffalo Sabres,3,6,Buffalo Sabres,New York Rangers,-2.0,-3.0,losing,losing,3508
Stoppage,CGY563,STOP,Home Timeout,254,563,3,REGULAR,3rd,19:43,00:17,2021-04-27T00:56:57Z,2,1,1,2020020761,R,Calgary Flames,Montréal Canadiens,2,1,Calgary Flames,Montréal Canadiens,-1.0,-1.0,losing,losing,3583
Stoppage,SJS112,STOP,Visitor Timeout,24,112,1,REGULAR,1st,03:07,16:53,2021-04-27T02:43:08Z,0,2,1,2020020766,R,San Jose Sharks,Arizona Coyotes,4,6,Arizona Coyotes,San Jose Sharks,-2.0,-2.0,losing,losing,187
Stoppage,NJD928,STOP,Home Timeout,307,928,4,OVERTIME,OT,02:36,02:24,2021-03-14T23:45:43Z,2,2,1,2020020767,R,New Jersey Devils,New York Islanders,2,2,New Jersey Devils,New York Islanders,0.0,0.0,tied,tied,3756
Stoppage,OTT354,STOP,Visitor Timeout,119,354,2,REGULAR,2nd,01:10,18:50,2021-04-28T22:33:26Z,0,3,1,2020020776,R,Ottawa Senators,Vancouver Canucks,3,6,Vancouver Canucks,Ottawa Senators,-3.0,-3.0,losing,losing,1270
Stoppage,WPG784,STOP,Home Timeout,316,784,3,REGULAR,3rd,19:00,01:00,2021-04-29T03:29:30Z,2,1,1,2020020777,R,Winnipeg Jets,Edmonton Oilers,3,1,Winnipeg Jets,Edmonton Oilers,-1.0,-2.0,losing,losing,3540
