id,activePlayer,blockedShots,faceoffWinPctg,faceoffsLost,faceoffsTaken,faceoffsWon,firstName,firstSeasonForGameType,franchiseId,gameTypeId,gamesPlayed,giveaways,hits,lastName,lastSeasonForGameType,missedShots,playerId,positionCode,seasonsPlayed,shifts,takeaways,teamAbbrevs,timeOnIce
7533,True,130,43.3754,1077,1902,825,Jonathan,20142015,,2,485,278,356,Drouin,20222023,308,8477494,L,9,9650,261,"TBL,MTL",469607
7940,True,126,48.3246,987,1910,923,Brady,20182019,,2,359,235,1237,Tkachuk,20222023,450,8480801,L,5,8399,161,OTT,390955
5012,False,501,47.7853,1002,1919,917,Joel,20062007,,2,726,266,574,Ward,20172018,452,8468208,R,11,15721,409,"MIN,NSH,WSH,SJS",681661
7835,True,170,39.5736,1162,1923,761,Tyson,20162017,,2,413,60,303,Jost,20222023,188,8479370,C,7,7113,157,"COL,MIN,BUF",332376
7357,True,283,44.8062,1068,1935,867,Jordan,20142015,,2,559,135,769,Martinook,20222023,421,8476921,L,9,11166,270,"ARI,CAR",471883
4423,False,165,51.7774,936,1941,1005,Curtis,19941995,,2,182,34,123,Brown,20072008,79,8460534,C,13,3394,61,"CHI,SJS",141198
6249,False,175,51.58,950,1962,1012,Ryan,20072008,,2,473,66,691,Carter,20152016,209,8473646,L,9,7318,123,"ANA,FLA,CAR,NJD,MIN",300857
7657,True,144,40.9253,1162,1967,805,Adrian,20162017,,2,472,193,548,Kempe,20222023,379,8477960,R,7,10285,148,LAK,456050
7859,True,170,46.1499,1063,1974,911,Dylan,20172018,,2,233,60,293,Gambrell,20222023,105,8479580,C,6,4154,50,"SJS,OTT",175894
4288,False,334,45.4863,1093,2005,912,Ian,19931994,,2,389,112,536,Laperriere,20092010,164,8459094,R,16,8240,231,"COL,PHI",332034
4116,False,95,50.995,985,2010,1025,Stu,19911992,,2,239,100,75,Barnes,20072008,144,8455521,C,16,4830,214,DAL,220881
7880,True,137,40.2584,1202,2012,810,Filip,20172018,,2,327,170,120,Chytil,20222023,244,8480078,C,6,5628,135,NYR,274300
7400,True,250,46.5012,1078,2015,937,Alex,20172018,,2,442,195,282,Kerfoot,20222023,209,8477021,C,6,8558,178,"COL,TOR",386278
7928,True,219,48.4414,1042,2021,979,Brett,20182019,,2,279,89,359,Howden,20222023,120,8479353,C,5,5093,96,"NYR,VGK",218366
7589,True,156,48.5954,1043,2029,986,Ryan,20152016,,2,330,96,584,Carpenter,20222023,151,8477846,C,8,5714,107,"SJS,VGK,CHI,CGY,NYR",249497
8199,True,109,50.6136,1006,2037,1031,Jake,20192020,,2,186,81,210,Evans,20222023,71,8478133,C,4,3614,75,MTL,155776
4106,False,164,46.9608,1082,2040,958,Wes,19891990,,2,155,91,31,Walz,20072008,71,8452285,C,13,3908,87,MIN,142709
7942,True,130,45.7253,1130,2082,952,Isac,20182019,,2,212,64,83,Lundestrom,20222023,81,8480806,C,5,4383,70,ANA,188535
