defensiveZoneFaceoffLosses,defensiveZoneFaceoffWins,defensiveZoneFaceoffs,evFaceoffs,evFaceoffsLost,evFaceoffsWon,faceoffWinPct,gameDate,gameId,gamesPlayed,homeRoad,lastName,neutralZoneFaceoffLosses,neutralZoneFaceoffWins,neutralZoneFaceoffs,offensiveZoneFaceoffLosses,offensiveZoneFaceoffWins,offensiveZoneFaceoffs,opponentTeamAbbrev,playerId,positionCode,ppFaceoffs,ppFaceoffsLost,ppFaceoffsWon,shFaceoffs,shFaceoffsLost,shFaceoffsWon,skaterFullName,teamAbbrev,totalFaceoffLosses,totalFaceoffWins,totalFaceoffs,game_type
,,,15,12,3,0.36363,2006-03-04,2005020894,1,H,Bergeron,,,,,,,BUF,8470638,C,2,1,1,5,1,4,Patrice Bergeron,BOS,14,8,22,2
,,,17,8,9,0.52,2006-03-29,2005021075,1,R,Bergeron,,,,,,,BUF,8470638,C,3,2,1,5,2,3,Patrice Bergeron,BOS,12,13,25,2
,,,0,0,0,1.0,2005-11-01,2005020177,1,R,Bergeron,,,,,,,NYI,8470638,C,1,0,1,0,0,0,Patrice Bergeron,BOS,0,1,1,2
,,,1,0,1,0.33333,2005-10-29,2005020159,1,H,Bergeron,,,,,,,NJD,8470638,C,0,0,0,2,2,0,Patrice Bergeron,BOS,2,1,3,2
,,,16,8,8,0.52631,2006-01-21,2005020704,1,H,Bergeron,,,,,,,NYR,8470638,C,2,1,1,1,0,1,Patrice Bergeron,BOS,9,10,19,2
,,,20,11,9,0.5,2006-01-26,2005020738,1,H,Bergeron,,,,,,,WSH,8470638,C,3,0,3,1,1,0,Patrice Bergeron,BOS,12,12,24,2
,,,26,10,16,0.61538,2005-10-13,2005020061,1,R,Bergeron,,,,,,,FLA,8470638,C,0,0,0,0,0,0,Patrice Bergeron,BOS,10,16,26,2
,,,13,3,10,0.73913,2006-02-08,2005020829,1,R,Bergeron,,,,,,,PIT,8470638,C,6,2,4,4,1,3,Patrice Bergeron,BOS,6,17,23,2
,,,21,7,14,0.62962,2006-01-28,2005020756,1,H,Bergeron,,,,,,,NYI,8470638,C,6,3,3,0,0,0,Patrice Bergeron,BOS,10,17,27,2
,,,11,3,8,0.63636,2005-12-01,2005020378,1,H,Bergeron,,,,,,,OTT,8470638,C,6,3,3,5,2,3,Patrice Bergeron,BOS,8,14,22,2
,,,16,6,10,0.61538,2006-03-07,2005020914,1,R,Bergeron,,,,,,,BUF,8470638,C,7,3,4,3,1,2,Patrice Bergeron,BOS,10,16,26,2
,,,18,10,8,0.47826,2005-12-07,2005020414,1,R,Bergeron,,,,,,,COL,8470638,C,3,2,1,2,0,2,Patrice Bergeron,BOS,12,11,23,2
,,,12,7,5,0.38461,2006-01-24,2005020726,1,R,Bergeron,,,,,,,ATL,8470638,C,1,1,0,0,0,0,Patrice Bergeron,BOS,8,5,13,2
,,,9,4,5,0.61538,2005-10-22,2005020112,1,H,Bergeron,,,,,,,PIT,8470638,C,0,0,0,4,1,3,Patrice Bergeron,BOS,5,8,13,2
,,,14,10,4,0.43478,2006-04-08,2005021147,1,H,Bergeron,,,,,,,NYR,8470638,C,3,1,2,6,2,4,Patrice Bergeron,BOS,13,10,23,2
,,,20,10,10,0.53571,2006-03-21,2005021017,1,H,Bergeron,,,,,,,ATL,8470638,C,4,1,3,4,2,2,Patrice Bergeron,BOS,13,15,28,2
,,,1,0,1,0.5,2005-11-05,2005020208,1,H,Bergeron,,,,,,,PIT,8470638,C,1,1,0,4,2,2,Patrice Bergeron,BOS,3,3,6,2
,,,10,5,5,0.44444,2006-02-04,2005020798,1,R,Bergeron,,,,,,,MTL,8470638,C,6,4,2,2,1,1,Patrice Bergeron,BOS,10,8,18,2
,,,13,5,8,0.53333,2005-10-08,2005020031,1,R,Bergeron,,,,,,,PIT,8470638,C,0,0,0,2,2,0,Patrice Bergeron,BOS,7,8,15,2
,,,11,7,4,0.4375,2005-12-23,2005020510,1,R,Bergeron,,,,,,,TOR,8470638,C,0,0,0,5,2,3,Patrice Bergeron,BOS,9,7,16,2
,,,12,6,6,0.58823,2005-12-22,2005020503,1,H,Bergeron,,,,,,,TOR,8470638,C,1,1,0,4,0,4,Patrice Bergeron,BOS,7,10,17,2
,,,16,5,11,0.72727,2006-01-16,2005020669,1,H,Bergeron,,,,,,,ANA,8470638,C,4,1,3,2,0,2,Patrice Bergeron,BOS,6,16,22,2
